Common Name,Scientific Name,num_papers,Group
Roughhead Grenadier,Macrourus berglax,0,Fishes
Magnum Mantleslug,Magnipelta mycophaga,0,Snails
Cucumber Tree,Magnolia acuminata,1,Flowering Plants
Smooth Skate,Malacoraja senta,0,Fishes
Coast Manroot,Marah oregana,0,Flowering Plants
Vancouver Island Marmot,Marmota vancouverensis,0,Mammals
American Marten,Martes americana atrata,5,Mammals
White Meconella,Meconella oregana,0,Flowering Plants
Humpback Whale,Megaptera novaeangliae,7,Mammals
Eastern Screech-owl,Megascops asio,0,Birds
Western Screech-owl kennicottii subspecies,Megascops kennicottii kennicottii,1,Birds
Red-headed Woodpecker,Melanerpes erythrocephalus,0,Birds
Lewis's Woodpecker,Melanerpes lewis,0,Birds
Magdalen Islands Grasshopper,Melanoplus madeleineae,0,Insects
Dark-banded Flower Gem,Melaporphyria immortua,0,Insects
Toothed Globe,Mesodon zaletus,0,Snails
Sowerby's Beaked Whale,Mesoplodon bidens,0,Mammals
Hubbs' Beaked Whale,Mesoplodon carlhubbsi,0,Mammals
Blainville's Beaked Whale,Mesoplodon densirostris,2,Mammals
True's Beaked Whale,Mesoplodon mirus,0,Mammals
Stejneger's Beaked Whale,Mesoplodon stejneri,0,Mammals
Spiked Saxifrage,Micranthes spicata,0,Flowering Plants
Nugget Moss,Microbryum vlassovii,0,Mosses
Coast Microseris,Microseris bigelovii,0,Flowering Plants
Woodland Vole,Microtus pinetorum,0,Mammals
Serpentine Stitchwort,Minuartia marcescens,0,Flowering Plants
Dwarf Sandwort,Minuartia pusilla,0,Flowering Plants
Spotted Sucker,Minytrema melanops,0,Fishes
Northern Elephant Seal,Mirounga angustirostris,0,Mammals
Narwhal,Monodon monoceros,0,Mammals
Striped Bass,Morone saxatilis,3,Fishes
Red Mulberry,Morus rubra,0,Flowering Plants
River Redhorse,Moxostoma carinatum,0,Fishes
Black Redhorse,Moxostoma duquesnei,0,Fishes
Golden Redhorse,Moxostoma erythrurum,0,Fishes
Copper Redhorse,Moxostoma hubbsi,0,Fishes
Ermine haidarum subspecies,Mustela erminea haidarum,0,Mammals
Prairie Long-tailed Weasel,Mustela frenata longicauda,0,Mammals
Sea Mink,Mustela macrodon,0,Mammals
Black-footed Ferret,Mustela nigripes,0,Mammals
Keen's Long-eared Bat,Myotis keenii,0,Mammals
Little Brown Myotis,Myotis lucifugus,1,Mammals
Northern Myotis,Myotis septentrionalis,2,Mammals
Fringed Bat,Myotis thysanodes,0,Mammals
Fourhorn Sculpin,Myoxocephalus quadricornis,0,Fishes
Deepwater Sculpin,Myoxocephalus thompsonii,0,Fishes
Threaded Vertigo,Nearctula sp.,0,Snails
Mudpuppy,Necturus maculosus,0,Amphibians
Macoun's Shining Moss,Neomacounia nitida,0,Mosses
Cryptic Paw Lichen,Nephroma occultum,0,Lichens
Northern Watersnake,Nerodia sipedon sipedon,0,Reptiles
American Burying Beetle,Nicrophorus americanus,1,Insects
Hornyhead Chub,Nocomis biguttatus,0,Fishes
River Chub,Nocomis micropogon,0,Fishes
Pugnose Shiner,Notropis anogenus,0,Fishes
Bridle Shiner,Notropis bifrenatus,1,Fishes
Ghost Shiner,Notropis buchanani,0,Fishes
Bigmouth Shiner,Notropis dorsalis,0,Fishes
Blackchin Shiner,Notropis heterodon,0,Fishes
Carmine Shiner,Notropis percobromus,0,Fishes
Silver Shiner,Notropis photogenis,0,Fishes
Rosyface Shiner,Notropis rubellus,0,Fishes
Weed Shiner,Notropis texanus,0,Fishes
Margined Madtom,Noturus insignis,0,Fishes
Brindled Madtom,Noturus miurus,0,Fishes
Northern Madtom,Noturus stigmosus,0,Fishes
Long-billed Curlew,Numenius americanus,2,Birds
Eskimo Curlew,Numenius borealis,0,Birds
Poweshiek Skipperling,Oarisma poweshiek,0,Insects
Threehorn Wartyback,Obliquaria reflexa,0,Clams
Hickorynut,Obovaria olivaria,0,Clams
Round Hickorynut,Obovaria subrotunda,0,Clams
Pixie Poacher,Occella impi,0,Fishes
Collared Pika,Ochotona collaris,0,Mammals
Atlantic Walrus,Odobenus rosmarus rosmarus,0,Mammals
Audouin’s Night-stalking Tiger Beetle,Omus audouini,0,Insects
Westslope Cutthroat Trout,Oncorhynchus clarkii lewisi,2,Fishes
Coho Salmon,Oncorhynchus kisutch,2,Fishes
Rainbow Trout,Oncorhynchus mykiss,3,Fishes
Sockeye Salmon,Oncorhynchus nerka,0,Fishes
Chinook Salmon,Oncorhynchus tshawytscha,1,Fishes
Pygmy Snaketail,Ophiogomphus howei,0,Insects
Pugnose Minnow,Opsopoeodus emiliae,0,Fishes
Eastern Prickly Pear Cactus,Opuntia humifusa,0,Flowering Plants
Killer Whale,Orcinus orca,1,Mammals
Sage Thrasher,Oreoscoptes montanus,0,Birds
Grand Coulee Owl-clover,Orthocarpus barbatus,0,Flowering Plants
Rosy Owl-clover,Orthocarpus bracteosus,0,Flowering Plants
Rainbow Smelt,Osmerus mordax,3,Fishes
Olympia Oyster,Ostrea lurida,0,Clams
Flammulated Owl,Otus flammeolus,1,Birds
Drooping-leaved Beard-moss,Oxystegus recurvifolius,0,Mosses
Hare-footed Locoweed,Oxytropis lagopus,0,Flowering Plants
Ivory Gull,Pagophila eburnea,0,Birds
American Ginseng,Panax quinquefolius,0,Flowering Plants
Wrinkled Shingle Lichen,Pannaria lurida,0,Lichens
Gray Ratsnake,Pantherophis spiloides,0,Reptiles
Eastern Foxsnake,Pantherophis vulpinus,0,Reptiles
Aweme Borer,Papaipema aweme,0,Insects
Louisiana Waterthrush,Parkesia motacilla,2,Birds
Savannah Sparrow princeps subspecies,Passerculus sandwichensis princeps,0,Birds
Band-tailed Pigeon,Patagioenas fasciata,0,Birds
Proud Globelet,Patera pennsylvanica,0,Snails
Furbish's Lousewort,Pedicularis furbishiae,0,Flowering Plants
American White Pelican,Pelecanus erythrorhynchos,0,Birds
Western Waterfan,Peltigera gowardii,0,Lichens
Eastern Waterfan,Peltigera hydrothyria,0,Lichens
Channel Darter,Percina copelandi,0,Fishes
River Darter,Percina shumardi,0,Fishes
Tri-colored Bat,Perimyotis subflavus,2,Mammals
Branched Phacelia,Phacelia ramosissima,0,Flowering Plants
Red Oak Stubble Lichen,Phaeocalicium minutissimum,0,Lichens
Double-crested Cormorant,Phalacrocorax auritus,2,Birds
Common Poorwill,Phalaenoptilus nuttallii,0,Birds
Red-necked Phalarope,Phalaropus lobatus,1,Birds
Rapids Clubtail,Phanogomphus quadricolor,0,Insects
Broad Beech Fern,Phegopteris hexagonoptera,0,Ferns and Allies
Carolina Mantleslug,Philomycus carolinianus,0,Snails
Blue Phlox,Phlox alyssifolia,0,Flowering Plants
Showy Phlox,Phlox speciosa ssp. occidentalis,0,Flowering Plants
Harbour Seal Pacific subspecies,Phoca vitulina richardsi,0,Mammals
Harbour Porpoise,Phocoena phocoena vomerina,7,Mammals
Dall's Porpoise,Phocoenoides dalli,0,Mammals
Short-tailed Albatross,Phoebastria albatrus,0,Birds
Black-footed Albatross,Phoebastria nigripes,0,Birds
Pygmy Short-horned Lizard,Phrynosoma douglasii,0,Reptiles
Greater Short-horned Lizard,Phrynosoma hernandesi,0,Reptiles
Lake Winnipeg Physa,Physa sp.,0,Snails
Pale-bellied Frost Lichen,Physconia subpallida,0,Lichens
Banff Springs Snail,Physella johnsoni,0,Snails
Gatineau Tadpole Snail,Physella parkeri latchfordi,0,Snails
Hotwater Physa,Physella wrighti,0,Snails
Sperm Whale,Physeter macrocephalus,5,Mammals
White-headed Woodpecker,Picoides albolarvatus,0,Birds
Bluntnose Minnow,Pimephales notatus,0,Fishes
Great Auk,Pinguinus impennis,0,Birds
Whitebark Pine,Pinus albicaulis,0,Conifers and Cycads
Limber Pine,Pinus flexilis,0,Conifers and Cycads
Bullsnake,Pituophis catenifer sayi,0,Reptiles
Fragrant Popcornflower,Plagiobothrys figuratus,0,Flowering Plants
Slender Popcornflower,Plagiobothrys tenellus,0,Flowering Plants
Heart-leaved Plantain,Plantago cordata,0,Flowering Plants
Eastern Prairie Fringed Orchid,Platanthera leucophaea,0,Flowering Plants
Western Prairie Fringed Orchid,Platanthera praeclara,0,Flowering Plants
Island Blue,Plebejus saepiolus insulanus,0,Insects
Karner Blue,Plebejus samuelis,0,Insects
Five-lined Skink,Plestiodon fasciatus,0,Reptiles
Prairie Skink,Plestiodon septentrionalis,0,Reptiles
Western Skink,Plestiodon skiltonianus,0,Reptiles
Coeur d'Alene Salamander,Plethodon idahoensis,0,Amphibians
Western Red-backed Salamander,Plethodon vehiculum,0,Amphibians
Round Pigtoe,Pleurobema sintoxia,0,Clams
Horned Grebe,Podiceps auritus,1,Birds
Red-necked Grebe,Podiceps grisegena,1,Birds
Yukon Podistera,Podistera yukonensis,0,Flowering Plants
Van Brunt's Jacob's-ladder,Polemonium vanbruntiae,0,Flowering Plants
Sonora Skipper,Polites sonora,0,Insects
Pink Milkwort,Polygala incarnata,0,Flowering Plants
Paddlefish,Polyodon spathula,0,Fishes
Lemmon's Holly Fern,Polystichum lemmonii,0,Ferns and Allies
Mountain Holly Fern,Polystichum scopulinum,0,Ferns and Allies
Coastal Vesper Sparrow,Pooecetes gramineus affinis,0,Birds
Hill's Pondweed,Potamogeton hillii,0,Flowering Plants
Ogden's Pondweed,Potamogeton ogdenii,0,Flowering Plants
Hoptree Borer,Prays atomocella,0,Insects
Blue Shark,Prionace glauca,0,Fishes
Five-spotted Bogus Yucca Moth,Prodoxus quinquepunctellus,0,Insects
Blue-grey Taildropper,Prophysaon coeruleum,0,Snails
Pygmy Whitefish,Prosopium coulterii,0,Fishes
Prothonotary Warbler,Protonotaria citrea,1,Birds
Western Chorus Frog,Pseudacris triseriata,2,Amphibians
Ghost Antler Lichen,Pseudevernia cladonia,0,Lichens
Oldgrowth Specklebelly Lichen,Pseudocyphellaria rainierensis,0,Lichens
False Killer Whale,Pseudorca crassidens,0,Mammals
Dwarf Woolly-heads,Psilocarphus brevissimus,0,Flowering Plants
Tall Woolly-heads,Psilocarphus elatior,0,Flowering Plants
Slender Woolly-heads,Psilocarphus tenellus var. tenellus,0,Flowering Plants
Northwestern Cellar Spider,Psilochorus hesperus,0,Insects
Common Hoptree,Ptelea trifoliata,0,Flowering Plants
Alkaline Wing-nerved Moss,Pterygoneurum kozlovii,0,Mosses
Kidneyshell,Ptychobranchus fasciolaris,0,Clams
Incurved Grizzled Moss,Ptychomitrium incurvum,0,Mosses
Cassin's Auklet,Ptychoramphus aleuticus,0,Birds
Cougar,Puma concolor couguar,1,Mammals
Ringed Seal,Pusa hispida,0,Mammals
Hoary Mountain-mint,Pycnanthemum incanum,0,Flowering Plants
Flathead Catfish,Pylodictis olivaris,0,Fishes
False-foxglove Sun Moth,Pyrrhia aurantiago,0,Insects
Mapleleaf,Quadrula quadrula,0,Clams
Shumard Oak,Quercus shumardii,0,Flowering Plants
Big Skate,Raja binoculata,0,Fishes
Longnose Skate,Raja rhina,0,Fishes
King Rail,Rallus elegans,2,Birds
Northern Red-legged Frog,Rana aurora,0,Amphibians
Columbia Spotted Frog,Rana luteiventris,0,Amphibians
Pickerel Frog,Rana palustris,1,Amphibians
Oregon Spotted Frog,Rana pretiosa,0,Amphibians
Caribou dawsoni subspecies,Rangifer tarandus dawsoni,4,Mammals
Water-plantain Buttercup,Ranunculus alismifolius,0,Flowering Plants
California Buttercup,Ranunculus californicus,0,Flowering Plants
Queensnake,Regina septemvittata,0,Reptiles
Western Harvest Mouse megalotis subspecies,Reithrodontomys megalotis megalotis,0,Mammals
Nooksack Dace,Rhinichthys cataractae,0,Fishes
Leopard Dace,Rhinichthys falcatus,0,Fishes
Speckled Dace,Rhinichthys osculus,0,Fishes
Umatilla Dace,Rhinichthys umatilla,0,Fishes
Pacific Rhododendron,Rhododendron macrophyllum,0,Flowering Plants
Ross's Gull,Rhodostethia rosea,0,Birds
McCown's Longspur,Rhynchophanes mccownii,1,Birds
Tall Beakrush,Rhynchospora macrostachya,0,Flowering Plants
Bank Swallow,Riparia riparia,1,Birds
Climbing Prairie Rose,Rosa setigera,0,Flowering Plants
Toothcup,Rotala ramosior,0,Flowering Plants
Plymouth Gentian,Sabatia kennedyana,0,Flowering Plants
Sand-dune Short-capsuled Willow,Salix brachycarpa var. psammophila,0,Flowering Plants
Green-scaled Willow,Salix chlorolepis,0,Flowering Plants
Barrens Willow,Salix jejuna,0,Flowering Plants
Blanket-leaved Willow,Salix silicicola,0,Flowering Plants
Turnor's Willow,Salix turnorii,0,Flowering Plants
Tyrrell's Willow,Salix tyrrellii,0,Flowering Plants
Atlantic Salmon,Salmo salar,6,Fishes
Bull Trout,Salvelinus confluentus,5,Fishes
Aurora Trout,Salvelinus fontinalis timagamiensis,0,Fishes
Dolly Varden,Salvelinus malma malma,0,Fishes
Blue Walleye,Sander vitreus glaucus,0,Fishes
Bert's Predaceous Diving Beetle,Sanfilippodytes bertae,0,Insects
Bear's-foot Sanicle,Sanicula arctopoides,0,Flowering Plants
Purple Sanicle,Sanicula bipinnatifida,0,Flowering Plants
Pacific Sardine,Sardinops sagax,0,Fishes
Behr's Hairstreak,Satyrium behrii,0,Insects
Half-moon Hairstreak,Satyrium semiluna,0,Insects
Eastern Mole,Scalopus aquaticus,0,Mammals
Townsend's Mole,Scapanus townsendii,0,Mammals
Gold-edged Gem,Schinia avemensis,0,Insects
White Flower Moth,Schinia bimatris,0,Insects
Verna's Flower Moth,Schinia verna,0,Insects
Long's Bulrush,Scirpus longii,0,Flowering Plants
Fox Squirrel,Sciurus niger,2,Mammals
Frosted Glass-whiskers,Sclerophora peronella,0,Lichens
Margined Streamside Moss,Scouleria marginata,0,Mosses
Darkblotched Rockfish,Sebastes crameri,0,Fishes
Acadian Redfish,Sebastes fasciatus,0,Fishes
Quillback Rockfish,Sebastes maliger,0,Fishes
Deepwater Redfish,Sebastes mentella,0,Fishes
Bocaccio,Sebastes paucispinis,0,Fishes
Canary Rockfish,Sebastes pinniger,0,Fishes
Yellowmouth Rockfish,Sebastes reedi,0,Fishes
Yelloweye Rockfish,Sebastes ruberrimus,0,Fishes
Rougheye Rockfish type I,Sebastes sp.,0,Fishes
Longspine Thornyhead,Sebastolobus altivelis,0,Fishes
Acuteleaf Small Limestone Moss,Seligeria acutifolia,0,Mosses
Carey’s Small Limestone Moss,Seligeria careyana,0,Mosses
White-top Aster,Sericocarpus rigidus,0,Flowering Plants
Cerulean Warbler,Setophaga cerulea,1,Birds
Hooded Warbler,Setophaga citrina,1,Birds
Prairie Warbler,Setophaga discolor,0,Birds
Kirtland's Warbler,Setophaga kirtlandii,0,Birds
Eastern Bluebird,Sialia sialis,1,Birds
Virginia Mallow,Sida hermaphrodita,0,Flowering Plants
Coastal Scouler's Catchfly,Silene scouleri ssp. grandis,0,Flowering Plants
Spalding's Campion,Silene spaldingii,1,Flowering Plants
Salamander Mussel,Simpsonaias ambigua,0,Clams
Massasauga,Sistrurus catenatus,2,Reptiles
Round-leaved Greenbrier,Smilax rotundifolia,0,Flowering Plants
Gillman's Goldenrod,Solidago gillmanii,0,Flowering Plants
Houghton's Goldenrod,Solidago houghtonii,0,Flowering Plants
Riddell's Goldenrod,Solidago riddellii,0,Flowering Plants
Showy Goldenrod,Solidago speciosa,0,Flowering Plants
Hine's Emerald,Somatochlora hineana,0,Insects
Pacific Water Shrew,Sorex bendirii,0,Mammals
Gaspé Shrew,Sorex gaspensis,0,Mammals
Plains Spadefoot,Spea bombifrons,1,Amphibians
Great Basin Spadefoot,Spea intermontana,0,Amphibians
Cascade Mantled Ground Squirrel,Spermophilus saturatus,0,Mammals
Williamson's Sapsucker,Sphyrapicus thyroideus,0,Birds
Ute Ladies’–tresses,Spiranthes diluvialis,0,Flowering Plants
Longfin Smelt,Spirinchus thaleichthys,0,Fishes
Spiny Dogfish,Squalus acanthias,0,Fishes
North Pacific Spiny Dogfish,Squalus suckleyi,0,Fishes
Haida Gwaii Slug,Staala gwaii,0,Snails
Sand Stitchwort,Stellaria arenicola,0,Flowering Plants
Striped Dolphin,Stenella coeruleoalba,0,Mammals
Northern Mock Goldenweed,Stenotus borealis,0,Flowering Plants
Rush Pink,Stephanomeria runcinata,0,Flowering Plants
Caspian Tern,Sterna caspia,0,Birds
Roseate Tern,Sterna dougallii,0,Birds
Forster's Tern,Sterna forsteri,0,Birds
Common Tern,Sterna hirundo,0,Birds
Eastern Musk Turtle,Sternotherus odoratus,0,Reptiles
DeKay's Brownsnake,Storeria dekayi,0,Reptiles
Great Grey Owl,Strix nebulosa,1,Birds
Spotted Owl caurina subspecies,Strix occidentalis caurina,3,Birds
Eastern Meadowlark,Sturnella magna,0,Birds
Wood-poppy,Stylophorum diphyllum,0,Flowering Plants
Riverine Clubtail,Stylurus amnicola,0,Insects
Laura's Clubtail,Stylurus laurae,0,Insects
Olive Clubtail,Stylurus olivaceus,0,Insects
Northern Hawk Owl,Surnia ulula,0,Birds
Nuttall's Cottontail nuttallii subspecies,Sylvilagus nuttallii nuttallii,0,Mammals
Nuttall's Cottontail pinetis subspecies,Sylvilagus nuttallii pinetis,0,Mammals
Anticosti Aster,Symphyotrichum anticostense,0,Flowering Plants
Short-rayed Alkali Aster,Symphyotrichum frondosum,0,Flowering Plants
Gulf of St. Lawrence Aster,Symphyotrichum laurentianum,0,Flowering Plants
Nahanni Aster,Symphyotrichum nahanniense,0,Flowering Plants
Willowleaf Aster,Symphyotrichum praealtum,0,Flowering Plants
Crooked-stem Aster,Symphyotrichum prenanthoides,0,Flowering Plants
Western Silvery Aster,Symphyotrichum sericeum,0,Flowering Plants
Short's Aster,Symphyotrichum shortii,0,Flowering Plants
Annual Saltmarsh Aster,Symphyotrichum subulatum,0,Flowering Plants
Yukon Aster,Symphyotrichum yukonense,0,Flowering Plants
Ancient Murrelet,Synthliboramphus antiquus,0,Birds
Twisted Oak Moss,Syntrichia laevipila,0,Mosses
Fameflower,Talinum sediforme,0,Flowering Plants
Floccose Tansy,Tanacetum huronense var. floccosum,0,Flowering Plants
American Badger,Taxidea taxus,0,Mammals
Non-pollinating Yucca Moth,Tegeticula corruptrix,0,Insects
Yucca Moth,Tegeticula yuccasella,0,Insects
Golden-eye Lichen,Teloschistes chrysophthalmus,0,Lichens
Virginia Goat's-rue,Tephrosia virginiana,0,Flowering Plants
Eastern Box Turtle,Terrapene carolina,3,Reptiles
Lakeside Daisy,Tetraneuris herbacea,0,Flowering Plants
Eulachon,Thaleichthys pacificus,0,Fishes
Butler's Gartersnake,Thamnophis butleri,0,Reptiles
Northwestern Gartersnake,Thamnophis ordinoides,0,Reptiles
Eastern Ribbonsnake,Thamnophis sauritus,0,Reptiles
Atlantic Bluefin Tuna,Thunnus thynnus,0,Fishes
Small-flowered Tonella,Tonella tenella,0,Flowering Plants
Porter's Twisted Moss,Tortula porteri,0,Mosses
Lilliput,Toxolasma parvum,0,Clams
Western Spiderwort,Tradescantia occidentalis,0,Flowering Plants
Bashful Bulrush,Trichophorum planifolium,0,Flowering Plants
Drooping Trillium,Trillium flexipes,0,Flowering Plants
Lake Huron Grasshopper,Trimerotropis huroniana,0,Insects
Nodding Pogonia,Triphora trianthophoros,0,Flowering Plants
Bearded Owl-clover,Triphysaria versicolor,0,Flowering Plants
Small-flowered Sand-verbena,Tripterocalyx micranthus,0,Flowering Plants
Howell's Triteleia,Triteleia howellii,0,Flowering Plants
Fawnsfoot,Truncilla donaciformis,0,Clams
Buff-breasted Sandpiper,Tryngites subruficollis,0,Birds
Common Bottlenose Dolphin,Tursiops truncatus,3,Mammals
Greater Prairie-Chicken,Tympanuchus cupido,1,Birds
Barn Owl,Tyto alba,1,Birds
Gray Fox,Urocyon cinereoargenteus,0,Mammals
Lindley's False Silverpuffs,Uropappus lindleyi,0,Flowering Plants
White Hake,Urophycis tenuis,0,Fishes
American Black Bear,Ursus americanus,7,Mammals
Grizzly Bear,Ursus arctos,11,Mammals
Polar Bear,Ursus maritimus,0,Mammals
Deerberry,Vaccinium stamineum,0,Flowering Plants
Hairy Valerian,Valeriana edulis ssp. ciliata,0,Flowering Plants
Golden-winged Warbler,Vermivora chrysoptera,2,Birds
Fascicled Ironweed,Vernonia fasciculata,0,Flowering Plants
Rayed Bean,Villosa fabalis,0,Clams
Rainbow Mussel,Villosa iris,0,Clams
Bird's-foot Violet,Viola pedata,0,Flowering Plants
Yellow Montane Violet praemorsa subspecies,Viola praemorsa ssp. praemorsa,0,Flowering Plants
Swift Fox,Vulpes velox,0,Mammals
Striped Whitelip,Webbhelix multilineata,0,Snails
Blunt-lobed Woodsia,Woodsia obtusa,0,Flowering Plants
Soapweed,Yucca glauca,0,Flowering Plants
Sheathed Slug,Zacoleus idahoensis,0,Clams
California Sea Lion,Zalophus californianus,1,Mammals
Cuvier's Beaked Whale,Ziphius cavirostris,1,Mammals
Harris's Sparrow,Zonotrichia querula,0,Birds
Slender Yoke-moss,Zygodon gracilis,0,Mosses
